name,초중고,설립년도,설립형태,소재지도로명주소,시도교육청,교육지원청,위도,경도
청송고등학교,고등학교,1954,공립,경상북도 청송군 청송읍 금곡1길 13,경상북도교육청,경상북도청송교육지원청,36.43000334,129.0576987
진량중학교,중학교,1954,사립,경상북도 경산시 진량읍 대학로 1051,경상북도교육청,경상북도경산교육지원청,35.87727334,128.8110155
울산고등학교,고등학교,1954,사립,울산광역시 중구 도화골15길 15,울산광역시교육청,울산광역시강북교육지원청,35.56309225,129.3311353
송전중학교,중학교,1954,공립,경기도 용인시 처인구 이동읍 경기동로687번길 28-14,경기도교육청,경기도용인교육지원청,37.1404346,127.2007625
평택여자중학교,중학교,1954,공립,경기도 평택시 평택4로 60,경기도교육청,경기도평택교육지원청,36.99300685,127.1030819
두광중학교,중학교,1954,공립,울산광역시 울주군 두서면 반구대로 1930-5,울산광역시교육청,울산광역시강남교육지원청,35.65515117,129.1689031
용문중학교,중학교,1954,사립,경기도 양평군 용문면 용문로 437,경기도교육청,경기도양평교육지원청,37.49187337,127.5988154
한국항만물류고등학교,고등학교,1954,공립,전라남도 광양시 진상면 신시길 177,전라남도교육청,전라남도광양교육지원청,35.01702381,127.7165243
고성동중학교,중학교,1954,공립,경상남도 고성군 거류면 당동1길 59-14,경상남도교육청,경상남도고성교육지원청,34.98773566,128.4012968
양양고등학교,고등학교,1954,공립,강원도 양양군 양양읍 복개길 23-12,강원도교육청,강원도속초양양교육지원청,38.07266653,128.6165084
토성초등학교,초등학교,1954,공립,강원도 철원군 갈말읍 토성길 43,강원도교육청,강원도철원교육지원청,38.24101934,127.3455948
김천동부초등학교,초등학교,1954,공립,경상북도 김천시 황산로 83-15,경상북도교육청,경상북도김천교육지원청,36.11859869,128.1380241
고령고등학교,고등학교,1954,공립,경상북도 고령군 대가야읍 우륵로 63,경상북도교육청,경상북도고령교육지원청,35.73565191,128.2701005
남양고등학교,고등학교,1954,공립,경기도 화성시 남양읍 시청로45번길 23,경기도교육청,경기도화성오산교육지원청,37.2079709,126.8234064
마령중학교,중학교,1954,공립,전라북도 진안군 마령면 임진로 2086,전라북도교육청,전라북도진안교육지원청,35.73289992,127.3716574
화도중학교,중학교,1954,사립,경기도 화성시 마도면 석교로 162,경기도교육청,경기도화성오산교육지원청,37.20499973,126.7752047
중모중학교,중학교,1954,공립,경상북도 상주시 모동면 덕곡1길 13,경상북도교육청,경상북도상주교육지원청,36.3254066,127.9608589
가야고등학교,고등학교,1954,사립,부산광역시 부산진구 엄광로 152,부산광역시교육청,부산광역시남부교육지원청,35.14630264,129.0310877
가평고등학교,고등학교,1954,공립,경기도 가평군 가평읍 호반로 2601,경기도교육청,경기도가평교육지원청,37.81828429,127.5130855
진량고등학교,고등학교,1954,사립,경상북도 경산시 진량읍 대학로 1051,경상북도교육청,경상북도경산교육지원청,35.87727334,128.8110155
감천중학교,중학교,1954,공립,경상북도 예천군 감천면 충효로 1429,경상북도교육청,경상북도예천교육지원청,36.72434848,128.5261545
일죽중학교,중학교,1954,공립,경기도 안성시 일죽면 서동대로 7446,경기도교육청,경기도안성교육지원청,37.09147028,127.4733715
소수중학교,중학교,1954,공립,경상북도 영주시 순흥면 순흥로 24,경상북도교육청,경상북도영주교육지원청,36.91253449,128.5775449
용암중학교,중학교,1954,공립,경상북도 성주군 용암면 상성로 222,경상북도교육청,경상북도성주교육지원청,35.84136913,128.314491
오창중학교,중학교,1954,공립,충청북도 청주시 청원구 오창읍 팔결로 619,충청북도교육청,충청북도청주교육지원청,36.73519455,127.4613997
서포중학교,중학교,1954,사립,경상북도 포항시 북구 죽장면 일광길 2,경상북도교육청,경상북도포항교육지원청,36.16391663,129.0932289
산북중학교,중학교,1954,공립,경상북도 문경시 산북면 금천로 560,경상북도교육청,경상북도문경교육지원청,36.65452817,128.2594665
부석중학교,중학교,1954,공립,경상북도 영주시 부석면 부석로29번길 3,경상북도교육청,경상북도영주교육지원청,36.97856187,128.6518651
협신초등학교,초등학교,1954,공립,강원도 홍천군 남면 시동안로 89,강원도교육청,강원도홍천교육지원청,37.59567064,127.819478
신라중학교,중학교,1954,공립,경상북도 경주시 알천북로 143,경상북도교육청,경상북도경주교육지원청,35.85465841,129.2164259
용안중학교,중학교,1954,공립,전라북도 익산시 용안면 현내1로 71-8,전라북도교육청,전라북도익산교육지원청,36.11646976,126.9529583
신철원초등학교,초등학교,1954,공립,강원도 철원군 갈말읍 명성로139번안길 45,강원도교육청,강원도철원교육지원청,38.14752189,127.3055544
칠곡중학교,중학교,1954,공립,대구광역시 북구 칠곡중앙대로 583,대구광역시교육청,대구광역시서부교육지원청,35.94817565,128.550746
홍익대학교사범대학부속중학교,중학교,1954,사립,서울특별시 성북구 성북로14가길 23,서울특별시교육청,서울특별시성북강북교육지원청,37.59366662,127.002805
평택여자고등학교,고등학교,1954,공립,경기도 평택시 영신로 220,경기도교육청,경기도평택교육지원청,37.01260333,127.0897392
밀양여자고등학교,고등학교,1954,공립,경상남도 밀양시 내일중앙길 10,경상남도교육청,경상남도밀양교육지원청,35.49521193,128.7559345
매괴고등학교,고등학교,1954,사립,충청북도 음성군 감곡면 매괴길 10,충청북도교육청,충청북도음성교육지원청,37.12067594,127.6406222
배문중학교,중학교,1954,사립,서울특별시 용산구 효창원로 258,서울특별시교육청,서울특별시중부교육지원청,37.54991872,126.9639041
가곡초등학교대곡분교장,초등학교,1954,공립,충청북도 단양군 가곡면 대대길 51,충청북도교육청,충청북도단양교육지원청,36.99798735,128.4263416
부강중학교,중학교,1954,공립,세종특별자치시 부강면 부강로 25-7,세종특별자치시교육청,세종특별자치시교육청,36.52631715,127.3648142
청송초등학교,초등학교,1954,공립,충청남도 청양군 청양읍 칠갑산로 97,충청남도교육청,충청남도청양교육지원청,36.44963291,126.7881253
인제중학교,중학교,1954,공립,강원도 인제군 인제읍 인제로 231,강원도교육청,강원도인제교육지원청,38.07084008,128.1754146
원광고등학교,고등학교,1954,사립,전라북도 익산시 무왕로31길 139,전라북도교육청,전라북도익산교육지원청,35.97322975,127.0022827
우송고등학교,고등학교,1954,사립,대전광역시 동구 동대전로131번길 53,대전광역시교육청,대전광역시동부교육지원청,36.33562875,127.4428489
모라초등학교,초등학교,1954,공립,부산광역시 사상구 모라로64번길 46,부산광역시교육청,부산광역시북부교육지원청,35.19004594,128.9864313
한밭여자중학교,중학교,1954,공립,대전광역시 동구 동대전로110번길 74-57,대전광역시교육청,대전광역시동부교육지원청,36.33016869,127.4488209
현풍고등학교,고등학교,1954,사립,대구광역시 달성군 현풍읍 비슬로 675,대구광역시교육청,대구광역시달성교육지원청,35.6985296,128.4382371
청평고등학교,고등학교,1954,공립,경기도 가평군 청평면 강변나루로40번길 23,경기도교육청,경기도가평교육지원청,37.73148416,127.4150054
이천단월초등학교,초등학교,1954,공립,경기도 이천시 단월로 98,경기도교육청,경기도이천교육지원청,37.22700348,127.4522059
오수고등학교,고등학교,1954,공립,전라북도 임실군 오수면 충효로 2099-23,전라북도교육청,전라북도임실교육지원청,35.54753286,127.3281427
화천중학교,중학교,1954,공립,강원도 화천군 하남면 춘화로 3348-9,강원도교육청,강원도화천교육지원청,38.09694119,127.7082684
은대초등학교,초등학교,1954,공립,경기도 연천군 전곡읍 은대로 210,경기도교육청,경기도연천교육지원청,38.0526852,127.0604053
아주초등학교,초등학교,1954,공립,경상남도 거제시 탑곡로4길 24,경상남도교육청,경상남도거제교육지원청,34.86446676,128.6923575
광주소프트웨어마이스터고등학교,고등학교,1954,공립,광주광역시 광산구 상무대로 312,광주광역시교육청,광주광역시서부교육지원청,35.14276897,126.800772
덕문중학교,중학교,1954,공립,부산광역시 강서구 동선길 144,부산광역시교육청,부산광역시북부교육지원청,35.0520756,128.8298145
대구내당초등학교,초등학교,1954,공립,대구광역시 달서구 명덕로 22-9,대구광역시교육청,대구광역시남부교육지원청,35.86063972,128.5723832
경산여자중학교,중학교,1954,사립,경상북도 경산시 경산로 91,경상북도교육청,경상북도경산교육지원청,35.8177642,128.7299454
구남중학교,중학교,1954,사립,대구광역시 달서구 두류남길 10,대구광역시교육청,대구광역시남부교육지원청,35.85810993,128.5726243
인천재능고등학교,고등학교,1954,사립,인천광역시 동구 재능로 178,인천광역시교육청,인천광역시남부교육지원청,37.47553313,126.6504734
충북여자중학교,중학교,1954,사립,충청북도 청주시 서원구 무심서로 377,충청북도교육청,충청북도청주교육지원청,36.62663158,127.4841051
전곡초등학교,초등학교,1954,공립,경기도 연천군 전곡읍 선사로 433,경기도교육청,경기도연천교육지원청,38.0277842,127.0719609
백학초등학교,초등학교,1954,공립,경기도 연천군 백학면 백학로 40,경기도교육청,경기도연천교육지원청,38.03232357,126.9200367
정안중학교,중학교,1954,공립,충청남도 공주시 정안면 정안중앙길 89-6,충청남도교육청,충청남도공주교육지원청,36.60385335,127.1171299
대저중학교,중학교,1954,사립,부산광역시 강서구 공항로811번가길 46,부산광역시교육청,부산광역시북부교육지원청,35.17758668,128.956294
미조중학교,중학교,1954,공립,경상남도 남해군 미조면 미송로2번길 73-8,경상남도교육청,경상남도남해교육지원청,34.71635241,128.0393878
발안바이오과학고등학교,고등학교,1954,공립,경기도 화성시 향남읍 발안로 71,경기도교육청,경기도화성오산교육지원청,37.13293438,126.9170045
근화초등학교,초등학교,1954,공립,강원도 춘천시 소양로163번길 23,강원도교육청,강원도춘천교육지원청,37.88852203,127.7229904
청웅중학교,중학교,1954,공립,전라북도 임실군 청웅면 청웅로 131-7,전라북도교육청,전라북도임실교육지원청,35.56942024,127.1982913
장호원중학교,중학교,1954,공립,경기도 이천시 장호원읍 샘재로 27-15,경기도교육청,경기도이천교육지원청,37.12648855,127.6170899
동광산업과학고등학교,고등학교,1954,공립,강원도 고성군 토성면 백촌길 30-15,강원도교육청,강원도고성교육지원청,38.29445445,128.5429663
부산진여자상업고등학교,고등학교,1954,공립,부산광역시 부산진구 진남로 524,부산광역시교육청,부산광역시남부교육지원청,35.1701018,129.0721827
청평중학교,중학교,1954,공립,경기도 가평군 청평면 골안길 7,경기도교육청,경기도가평교육지원청,37.74343941,127.4222115
제주서초등학교,초등학교,1954,공립,제주특별자치도 제주시 성화로6길 51,제주특별자치도교육청,제주특별자치도제주시교육지원청,33.51148514,126.5096832
남창고등학교,고등학교,1954,공립,울산광역시 울주군 온양읍 태화7길 43-16,울산광역시교육청,울산광역시강남교육지원청,35.41477812,129.2772126
묵호고등학교,고등학교,1954,공립,강원도 동해시 승지로 37,강원도교육청,강원도동해교육지원청,37.53776167,129.0957467
충북산업과학고등학교,고등학교,1954,공립,충청북도 옥천군 옥천읍 중앙로 144,충청북도교육청,충청북도옥천교육지원청,36.30947631,127.5763371
우천중학교,중학교,1954,공립,강원도 횡성군 우천면 수남로59번길 37,강원도교육청,강원도횡성교육지원청,37.4684289,128.0495417
데레사여자고등학교,고등학교,1954,사립,부산광역시 동구 정공단로47번길 14,부산광역시교육청,부산광역시남부교육지원청,35.13744209,129.0550458
